Summary ,Action,Data,Expected Result
Customer Launcher_Navigation on Specific Customer settings Menus and sub-Menus,"Open DUT 

Go to customer launcher menu (settings)

Open all menus and Sub-menus (Navigation on all menus and submenus)

Ensure that all menus are launched without any misbehaviour 

Ensure that all sub-menus are launched correctly and each corresponding function is tested",,"Navigation is smooth (Navigation is well done, no crash no problem are displayed)

All menus and sub-menus are launched correctly and  functional as expected"
Endurance_Customer Journey ,"Launch following customer journey script on VSB in loop during 24h
Press Menu
Netflix:

1.Go to Netflix
2. In the Netflix Home Page, navigate on the catalog
3. In Netflix Home Page, make a search for a movie
4. Play a Netflix movie during 1 minute, without user interaction
5. Fast forward, go to 10 min
6. Play the movie during 5 min, without user interaction
7. Change the volume with RCU (V+/V-)
8. Do some trick modes
9. Change volume with OK Google (V+/V-)
10. Press exit key and go back to Live
Live + timeshift:

1. Press P+ and wait for the Live
2. Play Live during 5 min
3. Change volume with RCU (V+/V-)
4. Backward trickmodes then play the Live in timeshift during 5 min
5. Change volume with OK Google (V+/V-)
6. Forward trickmodes then play Live in direct during 1 min
VOD

1.Go to VOD and navigate into the VOD menu
2. Play a VOD during 1 min, without user interaction
3. Fast forward, go to 10 min
4. Play the movie during 5 min, without user interaction
5. Change the volume with RCU (V+/V-)
6. Do some trick modes
7. Change volume with OK Google (V+/V-)
8. Press exit key and go back to Live
GVA

Ask some questions to OK Google
Zapping Live

On Live, do some zappings each 10sec during 5 min
Youtube


 1. Go to Youtube
 2. In Youtube Home Page, navigate on the catalog
 3. In Youtube Home Page, make a search for a content
 4. Play a Youtube content during 1 min, without user interaction
 5. Fast forward, go to 10 min
 6. Play the Youtube content during 5 min, without user interaction
 7. Change the volume with RCU (V+/V-)
 8. Do some trick modes
 9. Change volume with OK Google (V+/V-)
 10. Press exit key and go back to Live
Standby/wake up

1. Put the VSB in standby for 5 min
 2. Wake up the VSB
Navigation on Settings menu


 1. Navigate on Settings menu
 2. Press exit key and go back to Live
EPG


 1. Go to EPG and navigate in EPG
 2. Zap on an other channel on current content
 3. Change volume with OK Google (V+/V-)
Amazon Prime Video

1. Go to Amazon Prime
 2. In Amazon Prime Home Page, navigate on the catalog
 3. In Amazon Prime Home Page, make a search for a movie
 4. Play an Amazon Prime movie during 1 min, without user interaction
 5. Fast forward, go to 10 min
 6. Play the Amazon Prime movie during 5 min, without user interaction
 7. Change the volume with RCU (V+/V-)
 8. Do some trick modes
 9. Change volume with OK Google (V+/V-)
 10. Press exit key and go back to Live
GVA

Ask some questions to OK Google
Disney+

1. Go to Disney+
 2. In Disney+ Home Page, navigate on the catalog
 3. In Disney+ Home Page, make a search for a movie
 4. Play  a Disney+ movie during 1 min, without user interaction
 5. Fast forward, go to 10 min
 6. Play the Disney+ movie during 5 min, without user interaction
 7. Change the volume with RCU (V+/V-)
 8. Do some trick modes
 9. Change volume with OK Google (V+/V-)
 10. Press exit key and go back to Live
For AUSA 377 project : 
 # Check Uptime in “about menu” : need to be in conformance with the time where the STB has been started for the test
 # Check the RCU information (battery level, Firmware version) in the Remote & accessories menu
 # Perform a Google Assistant Test
 # Monitor Wifi Disconnections with SANA/logcat (for zapping/static/customer journey / Fake Standby cycle / Enter_Exit apps)
 # After endurance, collect all the logs then check bpe callback time",,"After 24h of customer journey navigation, no low performance should be observed
Menu is correctly displayed
Netflix is well working
Live + timeshift are well working
VOD is well working
GVA is well responding
Zapping is well done
Youtube is well working
VSB goes correctly in standby, then wake up correctly
Navigation on Settings menu is well working
EPG is well working
Amazon Prime Video is well working
GVA is well responding
Disney+ is well working
# Check Uptime in “about menu” : need to be in conformance with the time where the STB has been started for the test
 # Check the RCU information (battery level, Firmware version) in the Remote & accessories menu
 # Perform a Google Assistant Test
 # Monitor Wifi Disconnections with SANA/logcat (for zapping/static/customer journey / Fake Standby cycle / Enter_Exit apps)
 # the bpe callback time : Following a discussion with Jaison, BPE should be called on every callBackTime, (Which is a random value between 0 and 60 minutes)

If for any reason we do not have a callBackTime (either it is the first time or we had an issue in the previous download) the default value is 5 minutes"
Endurance_Static EPG display ,"Launch EPG
Check the EIT display
Let the DUT in static mode during at least 12h

KPI could be changed according the project spec but should not be less than 12H",,"EPG screen is displayed
All the EIT should be displayed correctly
Check that the DUT is stable after the endurance

EIT display is correct and well updated

Time/Date update is correct"
Endurance_ VOD_Playing VOD content,"Reboot the DUT
Play VOD for 24h


Check VOD after 24h

",,"DUT reboots correctly
Audio/Video VOD are well played


After 24h, Audio/Video VOD are well played (check  that the volume is still at the initial level)).

No macroblocks or glitches should be observed.

DUT is well responsive, and BLE pairing is kept

Navigation is as expected (non latency )"
Endurance_Static Live MCAST ETH,"Launch a static MACAST channel  for a given duration

Once the duration is finished:
- Check live status
-  Do a zapping 
- Press on /off rcu TV button and check the video quality

 

P.S : test duration should be aggred with dev time(10H/24H/72H) , otherwise this value should be 72H",,"- Audio/video of the MCAST channel  are well played 
  Audio Video synchro is OK
- zapping is OK,Audio/video OK  
- DUT remains working normally (no latency , no blackscreen, no RCU pairing loss, non network connection loss...)"
Endurance_Static Live DVBC ETH,"Launch a static DVBC endurance for  a given duration

 

P.S : test duration should be aggred with dev time(10H/24H/72H) , otherwise this value should be 72H",,"AV of DVBC channel are well played after the given duration and DUT reamins working normally (non latency , no blackscreen, no RCU pairing loss, non network connection loss...)"
Endurance_Static Live DTT ETH,"Reboot the DUT
Launch Live DTT channel


Check the Live DTT after 24h
Press on /off rcu TV button and check the video quality
Press on /off rcu DUT button and check the video quality",,"DUT reboots correctly
Audio/Video of live DTT are well played
After 24h, Audio/Video Live are well played.

No macroblocks or glitches should be observed.

DUT is well responsive, and BLE pairing is kept
Video is well displayed, no faded video


Video is well displayed, no faded video

"
 Endurance_Static Live SAT_ETH,"Reboot the DUT
Launch Live SAT channel
Check the OTT Live after the test duration as agreed with dev team

P.S: duration could be 12H/24H/72H, as default value please get 72H
Press on /off rcu TV button and check the video quality
Press on /off rcu DUT  button and check the video quality",,"DUT reboots correctly
Audio/Video Live are well played
After the test duration , Audio/Video Live are well played.

No macroblocks or glitches should be observed.

DUT is well responsive, and BLE pairing is kept
Video is well displayed, no faded video
Video is well displayed, no faded video

"
Endurance_Static Live OTT ETH,"Reboot the DUT
Launch Live OTT channel
Check the OTT Live after the test duration as agreed with dev team

P.S: duration could be 12H/24H/72H, as default value please get 72H
Press on /off rcu TV button and check the video quality
Press on /off rcu DUT  button and check the video quality",,"DUT reboots correctly
Audio/Video Live are well played
After the test duration , Audio/Video Live are well played.

No macroblocks or glitches should be observed.

DUT is well responsive, and BLE pairing is kept
Video is well displayed, no faded video
Video is well displayed, no faded video

"
 Endurance_Static Live OTT_WIFI,"Reboot the DUT
Launch Live OTT channel
Check the OTT Live after the test duration as agreed with dev team

P.S: duration could be 12H/24H/72H, as default value please get 72H
Press on /off rcu TV button and check the video quality
Press on /off rcu DUT  button and check the video quality",,"DUT reboots correctly
Audio/Video Live are well played
After the test duration , Audio/Video Live are well played.

No macroblocks or glitches should be observed.

DUT is well responsive, and BLE pairing is kept
Video is well displayed, no faded video
Video is well displayed, no faded video

"
